Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
6288,The Road,Cormac McCarthy,"McCarthy, Cormac",,"=""0307265439""","=""9780307265432""",5.0,Alfred A. Knopf,Hardcover,241,2006,2006,,2014/02/10,,,read,,,,1,0
394535,"Blood Meridian, or, the Evening Redness in the West",Cormac McCarthy,"McCarthy, Cormac",,"=""""","=""""",5.0,Vintage Books,Paperback,351,2010,1985,,2014/02/10,,,read,,,,1,0
469571,"All the Pretty Horses (The Border Trilogy, #1)",Cormac McCarthy,"McCarthy, Cormac",,"=""0679744398""","=""9780679744399""",4.0,Vintage,Paperback,302,1993,1992,,2014/02/10,,,read,,,,1,0
349254,The Lord of the Rings: The Return of the King: Visual Companion,Jane Johnson,"Johnson, Jane",Jude Fisher,"=""0618390979""","=""9780618390977""",5.0,Houghton Mifflin Harcourt,Hardcover,72,2003,2003,,2014/02/10,,,read,,,,1,0
6344097,"Stephen King's The Stand, Volume 1: Captain Trips",Roberto Aguirre-Sacasa,"Aguirre-Sacasa, Roberto","Laura   Martin, Mike Perkins, Stephen  King","=""0785136207""","=""9780785136200""",5.0,Marvel Comics ,Hardcover,160,2009,2009,,2014/02/10,,,read,,,,1,0
68428,"Mistborn: The Final Empire (Mistborn, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""9780765311788""",5.0,Tor Books,Hardcover,541,2006,2006,,2014/02/10,,,read,,,,1,0
95558,Solaris,Stanisław Lem,"Lem, Stanisław","Steve Cox, Joanna Kilmartin","=""""","=""""",5.0,Harcourt,Paperback,204,2002,1961,,2014/02/10,,,read,,,,1,0
9969571,"Ready Player One (Ready Player One, #1)",Ernest Cline,"Cline, Ernest",,"=""030788743X""","=""9780307887436""",4.0,Crown Publishers,Hardcover,480,2011,2011,,2014/02/10,,,read,,,,1,0
91981,"The Dragonbone Chair (Memory, Sorrow, and Thorn, #1)",Tad Williams,"Williams, Tad",,"=""0756402697""","=""9780756402693""",4.0,DAW,Paperback,672,2005,1988,,2014/02/10,,,read,,,,1,0
55399,"Gardens of the Moon (Malazan Book of the Fallen, #1)",Steven Erikson,"Erikson, Steven",,"=""0765348780""","=""9780765348784""",1.0,Tor Books,Mass Market Paperback,666,2005,1999,,2014/02/10,,,read,,,,1,0
3227063,"The Way of Shadows (Night Angel, #1)",Brent Weeks,"Weeks, Brent",,"=""0316033677""","=""9780316033671""",4.0,Orbit,Mass Market Paperback,645,2008,2008,,2014/02/10,,,read,,,,1,0
43615,"The Gunslinger (The Dark Tower, #1)",Stephen  King,"King, Stephen",,"=""""","=""""",5.0,Plume,Paperback,231,2003,1982,,2014/02/10,,,read,,,,1,0
5907,"The Hobbit, or There and Back Again",J.R.R. Tolkien,"Tolkien, J.R.R.","Douglas A. Anderson, Michael Hague, Jemima Catlin","=""""","=""""",5.0,Houghton Mifflin,Paperback,366,2002,1937,,2014/02/10,,,read,,,,1,0
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,"=""0439023483""","=""9780439023481""",5.0,Scholastic Press,Hardcover,374,2008,2008,,2014/02/10,,,read,,,,1,0
3609760,Twilight: The Complete Illustrated Movie Companion,Mark Cotta Vaz,"Vaz, Mark Cotta",,"=""0316043133""","=""9780316043137""",2.0,"Little, Brown Books for Young Readers",Paperback,144,2008,2008,,2014/02/10,,,read,,,,1,0
41865,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,"Meyer, Stephenie",,"=""0316015849""","=""9780316015844""",3.0,"Little, Brown and Company",Paperback,544,2006,2005,,2014/02/10,,,read,,,,1,0
186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""075640407X""","=""9780756404079""",5.0,Penguin Group DAW,Hardcover,662,2007,2007,,2014/02/10,,,read,,,,1,0
9579634,"Prince of Thorns (Broken Empire, #1)",Mark  Lawrence,"Lawrence, Mark",,"=""0007423292""","=""9780007423293""",4.0,Voyager,Hardcover,373,2011,2011,,2014/02/10,,,read,,,,1,0
12891107,"King of Thorns (Broken Empire, #2)",Mark  Lawrence,"Lawrence, Mark",,"=""1937007472""","=""9781937007478""",4.0,Ace Books,Hardcover,449,2012,2012,,2014/02/10,,,read,,,,1,0
13569581,"Blood Song (Raven's Shadow, #1)",Anthony Ryan,"Ryan, Anthony",,"=""1466085665""","=""9781466085664""",5.0,Anthony  Ryan,Kindle Edition,591,2012,2011,,2014/02/10,,,read,,,,1,0
7165300,"The Black Prism (Lightbringer, #1)",Brent Weeks,"Weeks, Brent",,"=""0316075558""","=""9780316075558""",4.0,Orbit,Hardcover,629,2010,2010,,2014/02/10,,,read,,,,1,0
7235533,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765326353""","=""9780765326355""",5.0,Tor Books,Hardcover,1007,2010,2010,,2014/02/10,,,read,,,,1,0
1215032,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""0756404738""","=""9780756404734""",5.0,DAW Books,Hardcover,994,2011,2011,,2014/02/10,,,read,,,,1,0
34,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"Tolkien, J.R.R.","Francis Ledoux, Maria Skibniewska","=""0618346252""","=""9780618346257""",5.0,Houghton Mifflin Harcourt,Paperback,398,2003,1954,,2014/02/10,,,read,,,,1,0
13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"Martin, George R.R.",,"=""""","=""""",5.0,Bantam,Mass Market Paperback,835,2005,1996,,2014/02/10,,,read,,,,1,0
17182126,"Steelheart (The Reckoners, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""0385743564""","=""9780385743563""",5.0,Delacorte Press,Hardcover,400,2013,2013,,2014/02/10,,,read,,,,1,0
