Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
63251772,"The Traitor (Covenant of Steel, #3)",Anthony Ryan,"Ryan, Anthony",,"=""0316430838""","=""9780316430838""",0,Orbit,Paperback,576,2023,2023,,2023/09/12,to-read,to-read (#32),to-read,,,,0,0
13578175,The Emperor's Soul,Brandon Sanderson,"Sanderson, Brandon",,"=""1616960922""","=""9781616960926""",0,Tachyon Publications,Paperback,175,2012,2012,,2019/11/11,to-read,to-read (#31),to-read,,,,1,0
15704486,"Calamity (Reckoners, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""0385743602""","=""9780385743600""",0,Delacorte Press,Hardcover,424,2016,2016,,2014/02/10,,,read,,,,1,0
36642458,"Skyward (Skyward, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""1473217857""","=""9781473217850""",0,Gollancz,Hardcover,528,2018,2018,,2019/11/11,,,read,,,,1,0
22443261,"The Rithmatist (The Rithmatist, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""1743532806""","=""9781743532805""",0,Tor UK,Kindle Edition,386,2014,2013,,2019/11/11,,,read,,,,1,0
15704459,"Firefight (The Reckoners, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""0385743580""","=""9780385743587""",0,Delacorte Press,Hardcover,416,2015,2015,,2014/02/10,,,read,,,,1,0
68427,"Elantris (Elantris, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765350378""","=""9780765350374""",0,Tor Fantasy,Mass Market Paperback,638,2006,2005,,2019/11/11,,,read,,,,1,0
46266815,"Der Dieb und der Söldner (Die Gaukler-Chroniken, #1)",Sam Feuerbach,"Feuerbach, Sam",Robert      Frank,"=""""","=""""",0,Audible Studios,Audible Audio,11,2019,,,2019/11/11,to-read,to-read (#30),to-read,,,,0,0
27422568,"Der Seelenspeer (Die Krosann-Saga - Königsweg, #2)",Sam Feuerbach,"Feuerbach, Sam",,"=""""","=""""",0,www.samfeuerbach.de,Kindle Edition,369,2015,,,2019/11/11,,,read,,,,1,0
42603801,"Der Totengräbersohn 4 (Der Totengräbersohn, #4)",Sam Feuerbach,"Feuerbach, Sam",,"=""""","=""""",0,www.samfeuerbach.de,Kindle Edition,380,2018,,,2019/11/11,,,read,,,,1,0
38191259,"Der Totengräbersohn (Der Totengräbersohn, #3)",Sam Feuerbach,"Feuerbach, Sam",,"=""""","=""""",0,Independently Published,Kindle Edition,418,2018,,,2019/11/11,,,read,,,,1,0
25374390,"Die Myrnengöttin (Die Krosann-Saga - Königsweg, #1)",Sam Feuerbach,"Feuerbach, Sam",,"=""""","=""""",0,www.samfeuerbach.de,Kindle Edition,397,2015,2015,,2019/11/11,,,read,,,,1,0
22838012,"Der Schwertmeister (Die Krosann-Saga - Lehrjahre, #2)",Sam Feuerbach,"Feuerbach, Sam",,"=""""","=""""",0,www.samfeuerbach.de,Kindle Edition,419,2014,2014,,2019/11/11,,,read,,,,1,0
23449510,"Die Sanduhr (Die Krosann-Saga - Lehrjahre, #3)",Sam Feuerbach,"Feuerbach, Sam",,"=""""","=""""",0,www.samfeuerbach.de,Kindle Edition,374,2014,2014,,2019/11/11,,,read,,,,1,0
